,Weekday - Level 2 - Diversified (Median) of 100 EVs
1138,1.9872000000000014
1139,1.9872000000000014
1140,2.024000000000002
1141,2.024000000000002
1142,1.9872000000000014
1143,2.0608000000000017
1144,2.0608000000000017
1145,2.0608000000000017
1146,2.0608000000000017
1147,2.0608000000000017
1148,2.0608000000000017
1149,2.0608000000000017
1150,2.0608000000000017
1151,2.0608000000000017
1152,2.1344000000000016
1153,2.1344000000000016
1154,2.0976000000000017
1155,2.1344000000000016
1156,2.1344000000000016
1157,2.1344000000000016
1158,2.1344000000000016
1159,2.0608000000000017
1160,2.0608000000000017
1161,2.0608000000000017
1162,2.0608000000000017
1163,1.9872000000000014
1164,2.024000000000002
1165,2.024000000000002
1166,1.9872000000000014
1167,1.9872000000000014
1168,2.0608000000000017
1169,2.0608000000000017
1170,2.0608000000000017
1171,2.0608000000000017
1172,2.0608000000000017
1173,2.0608000000000017
1174,2.0608000000000017
1175,2.0608000000000017
1176,2.0608000000000017
1177,2.0608000000000017
1178,2.0976000000000017
1179,2.0608000000000017
1180,2.0608000000000017
1181,2.0608000000000017
1182,2.0608000000000017
1183,2.024000000000002
1184,1.9872000000000014
1185,2.0608000000000017
1186,2.0608000000000017
1187,2.0608000000000017
1188,2.0608000000000017
1189,2.0608000000000017
1190,2.0608000000000017
1191,2.0608000000000017
1192,2.0608000000000017
1193,2.0608000000000017
1194,2.0976000000000017
1195,2.1344000000000016
1196,2.0608000000000017
1197,2.0608000000000017
1198,2.0608000000000017
1199,2.0608000000000017
1200,2.0608000000000017
1201,2.0608000000000017
1202,2.0608000000000017
1203,2.0608000000000017
1204,2.0608000000000017
1205,2.0608000000000017
1206,2.0608000000000017
1207,2.0608000000000017
1208,2.0608000000000017
1209,2.0608000000000017
1210,2.0608000000000017
1211,2.0608000000000017
1212,2.0608000000000017
1213,2.0608000000000017
1214,2.1344000000000016
1215,2.1344000000000016
1216,2.1344000000000016
1217,2.1344000000000016
1218,2.1344000000000016
1219,2.1344000000000016
1220,2.1344000000000016
1221,2.1344000000000016
1222,2.1344000000000016
1223,2.1344000000000016
1224,2.1344000000000016
1225,2.1344000000000016
1226,2.1344000000000016
1227,2.1344000000000016
1228,2.1344000000000016
1229,2.1344000000000016
1230,2.1344000000000016
1231,2.0976000000000017
1232,2.0608000000000017
1233,2.0608000000000017
1234,2.0608000000000017
1235,2.0608000000000017
1236,2.0976000000000017
1237,2.1344000000000016
1238,2.1344000000000016
1239,2.1344000000000016
1240,2.1344000000000016
1241,2.1344000000000016
1242,2.1344000000000016
1243,2.1344000000000016
1244,2.0976000000000017
1245,2.0976000000000017
1246,2.0608000000000017
1247,2.0608000000000017
1248,2.0608000000000017
1249,2.0608000000000017
1250,2.0608000000000017
1251,2.0976000000000017
1252,2.0976000000000017
1253,2.1344000000000016
1254,2.1344000000000016
1255,2.1344000000000016
1256,2.1344000000000016
1257,2.1344000000000016
1258,2.1344000000000016
1259,2.1344000000000016
1260,2.1344000000000016
1261,2.1344000000000016
1262,2.0608000000000017
1263,2.0608000000000017
1264,2.0608000000000017
1265,2.0608000000000017
