,Weekend - Level 2 - Diversified (Median) of 100 EVs
1068,1.0304000000000002
1069,1.0304000000000002
1070,1.0304000000000002
1071,1.0304000000000002
1072,1.0304000000000002
1073,1.0304000000000002
1074,1.0304000000000002
1075,1.0304000000000002
1076,1.0304000000000002
1077,1.0304000000000002
1078,1.0304000000000002
1079,1.0304000000000002
1080,1.0304000000000002
1081,1.0304000000000002
1082,1.0304000000000002
1083,1.0304000000000002
1084,1.0304000000000002
1085,1.0304000000000002
1086,1.0304000000000002
1087,1.0304000000000002
1088,1.0304000000000002
1089,1.0304000000000002
1090,1.0304000000000002
1091,1.0304000000000002
1092,1.0304000000000002
1093,1.0304000000000002
1094,0.9788800000000002
1095,0.9788800000000002
1096,0.9788800000000002
1097,0.9788800000000002
1098,0.9788800000000002
1099,1.0046400000000002
1100,1.0046400000000002
1101,1.0046400000000002
1102,0.9788800000000002
1103,1.0046400000000002
1104,0.9788800000000002
1105,1.0304000000000002
1106,1.0046400000000002
1107,0.9788800000000002
1108,1.0046400000000002
1109,0.9788800000000002
1110,0.9788800000000002
1111,1.0304000000000002
1112,1.0304000000000002
1113,1.0561600000000002
1114,1.0561600000000002
1115,1.0561600000000002
1116,1.0304000000000002
1117,1.0304000000000002
1118,1.0304000000000002
1119,1.0304000000000002
1120,1.0304000000000002
1121,1.0304000000000002
1122,1.0304000000000002
1123,0.9788800000000002
1124,1.0304000000000002
1125,1.0304000000000002
1126,1.0304000000000002
1127,1.0304000000000002
1128,1.0819200000000002
1129,1.0819200000000002
1130,1.0819200000000002
1131,1.0819200000000002
1132,1.0819200000000002
1133,1.0819200000000002
1134,1.0819200000000002
1135,1.0819200000000002
1136,1.0819200000000002
1137,1.0304000000000002
1138,1.0304000000000002
1139,1.0304000000000002
1140,1.0304000000000002
1141,1.0304000000000002
1142,1.0819200000000002
1143,1.0819200000000002
1144,1.0819200000000002
1145,1.0819200000000002
1146,1.0819200000000002
1147,1.0819200000000002
1148,1.0819200000000002
1149,1.0819200000000002
1150,1.0819200000000002
1151,1.0819200000000002
1152,1.0819200000000002
1153,1.0819200000000002
1154,1.0819200000000002
1155,1.0819200000000002
1156,1.0819200000000002
1157,1.0819200000000002
1158,1.0819200000000002
1159,1.0819200000000002
1160,1.0819200000000002
1161,1.0819200000000002
1162,1.0819200000000002
1163,1.0819200000000002
1164,1.0819200000000002
1165,1.0819200000000002
1166,1.0819200000000002
1167,1.0819200000000002
1168,1.1076800000000002
1169,1.0819200000000002
1170,1.0819200000000002
1171,1.0819200000000002
1172,1.0819200000000002
1173,1.1334400000000004
1174,1.0819200000000002
1175,1.0819200000000002
1176,1.0819200000000002
1177,1.0819200000000002
1178,1.0819200000000002
1179,1.1334400000000004
1180,1.1334400000000004
1181,1.1334400000000004
1182,1.1334400000000004
1183,1.1334400000000004
1184,1.1076800000000002
