,Weekday - Level 2 - Diversified (Median) of 100 EVs
1348,1.2880000000000007
1349,1.2880000000000007
1350,1.2880000000000007
1351,1.2880000000000007
1352,1.2364800000000007
1353,1.2364800000000007
1354,1.2364800000000007
1355,1.2364800000000007
1356,1.2364800000000007
1357,1.2364800000000007
1358,1.2622400000000007
1359,1.2364800000000007
1360,1.2364800000000007
1361,1.2364800000000007
1362,1.2364800000000007
1363,1.2364800000000007
1364,1.2364800000000007
1365,1.2364800000000007
1366,1.2364800000000007
1367,1.2364800000000007
1368,1.2364800000000007
1369,1.2364800000000007
1370,1.2364800000000007
1371,1.2364800000000007
1372,1.2364800000000007
1373,1.1849600000000007
1374,1.1849600000000007
1375,1.1849600000000007
1376,1.1849600000000007
1377,1.1849600000000007
1378,1.1849600000000007
1379,1.1849600000000007
1380,1.1849600000000007
1381,1.1849600000000007
1382,1.1849600000000007
1383,1.1849600000000007
1384,1.1849600000000007
1385,1.1849600000000007
1386,1.1849600000000007
1387,1.1849600000000007
1388,1.1592000000000007
1389,1.1592000000000007
1390,1.1334400000000004
1391,1.1334400000000004
1392,1.1334400000000004
1393,1.1334400000000004
1394,1.1334400000000004
1395,1.1334400000000004
1396,1.1334400000000004
1397,1.1334400000000004
1398,1.1334400000000004
1399,1.0819200000000002
1400,1.0819200000000002
1401,1.0819200000000002
1402,1.0819200000000002
1403,1.0819200000000002
1404,1.0819200000000002
1405,1.0819200000000002
1406,1.0819200000000002
1407,1.0819200000000002
1408,1.0819200000000002
1409,1.0819200000000002
1410,1.0819200000000002
1411,1.0819200000000002
1412,1.0819200000000002
1413,1.0304000000000002
1414,1.0304000000000002
1415,1.0304000000000002
1416,1.0304000000000002
1417,1.0304000000000002
1418,1.0304000000000002
1419,1.0304000000000002
1420,1.0304000000000002
1421,1.0304000000000002
1422,1.0304000000000002
1423,1.0046400000000002
1424,0.9788800000000002
1425,0.9788800000000002
1426,0.9788800000000002
