,Weekend - Level 1 - Diversified (Median) of 100 EVs
1194,0.6992000000000002
1195,0.6992000000000002
1196,0.6992000000000002
1197,0.6992000000000002
1198,0.6992000000000002
1199,0.6992000000000002
1200,0.6992000000000002
1201,0.6992000000000002
1202,0.6624000000000001
1203,0.6624000000000001
1204,0.6624000000000001
1205,0.6624000000000001
1206,0.6624000000000001
1207,0.6624000000000001
1208,0.6624000000000001
1209,0.6624000000000001
1210,0.6624000000000001
1211,0.6624000000000001
1212,0.6624000000000001
1213,0.6992000000000002
1214,0.6992000000000002
1215,0.6992000000000002
1216,0.6992000000000002
1217,0.6992000000000002
1218,0.6992000000000002
1219,0.6992000000000002
1220,0.6992000000000002
1221,0.6992000000000002
1222,0.6992000000000002
1223,0.6992000000000002
1224,0.6992000000000002
1225,0.6992000000000002
1226,0.6992000000000002
1227,0.6992000000000002
1228,0.6992000000000002
1229,0.6992000000000002
1230,0.6992000000000002
1231,0.6992000000000002
1232,0.6992000000000002
1233,0.6992000000000002
1234,0.6992000000000002
1235,0.6992000000000002
1236,0.6808000000000001
1237,0.6624000000000001
1238,0.6624000000000001
1239,0.6624000000000001
1240,0.6624000000000001
1241,0.6624000000000001
1242,0.6440000000000001
1243,0.6624000000000001
1244,0.6256
1245,0.6440000000000001
1246,0.6440000000000001
1247,0.6440000000000001
1248,0.6624000000000001
1249,0.6440000000000001
1250,0.6256
1251,0.6256
1252,0.6256
1253,0.6256
1254,0.6256
1255,0.6256
1256,0.5888
1257,0.5888
1258,0.5888
1259,0.6256
1260,0.6256
1261,0.6256
1262,0.6256
1263,0.5888
1264,0.5888
1265,0.5888
1266,0.5888
1267,0.6256
1268,0.6256
1269,0.6256
1270,0.6256
1271,0.6072
1272,0.5888
1273,0.5888
1274,0.5888
1275,0.5888
1276,0.5888
1277,0.5888
1278,0.6256
1279,0.6256
1280,0.6256
1281,0.5888
1282,0.5888
1283,0.5888
1284,0.5888
1285,0.5888
1286,0.5888
1287,0.552
1288,0.5704
1289,0.5888
1290,0.5888
1291,0.5888
1292,0.5704
1293,0.5704
1294,0.5704
1295,0.552
1296,0.5888
1297,0.5888
1298,0.5888
1299,0.5888
1300,0.5888
1301,0.5888
1302,0.5704
1303,0.5888
1304,0.5888
1305,0.5888
1306,0.5888
1307,0.5888
1308,0.5888
1309,0.5888
1310,0.5888
1311,0.552
1312,0.552
1313,0.552
1314,0.552
1315,0.5888
1316,0.5704
1317,0.552
1318,0.552
1319,0.552
1320,0.552
1321,0.552
1322,0.552
1323,0.552
1324,0.552
1325,0.552
1326,0.552
1327,0.552
1328,0.552
1329,0.552
1330,0.552
1331,0.552
1332,0.552
1333,0.552
1334,0.552
1335,0.552
1336,0.552
1337,0.552
1338,0.552
1339,0.5152
1340,0.5152
1341,0.5152
1342,0.5152
1343,0.5152
1344,0.5152
1345,0.5152
1346,0.5152
1347,0.5152
1348,0.5152
1349,0.5152
1350,0.5152
1351,0.5152
1352,0.5152
1353,0.5152
1354,0.5152
1355,0.5152
1356,0.5336000000000001
1357,0.552
1358,0.5152
1359,0.5152
1360,0.5152
1361,0.5152
1362,0.5152
1363,0.5152
1364,0.5152
1365,0.5152
1366,0.5152
1367,0.5152
1368,0.5152
1369,0.5152
1370,0.5152
1371,0.5152
1372,0.5152
1373,0.5152
1374,0.5152
1375,0.5152
1376,0.5152
1377,0.5152
1378,0.5152
1379,0.5152
1380,0.5152
1381,0.5152
1382,0.5152
1383,0.4968
1384,0.47840000000000005
1385,0.47840000000000005
1386,0.47840000000000005
1387,0.47840000000000005
1388,0.47840000000000005
1389,0.47840000000000005
1390,0.47840000000000005
1391,0.47840000000000005
1392,0.47840000000000005
1393,0.47840000000000005
1394,0.47840000000000005
1395,0.47840000000000005
1396,0.47840000000000005
1397,0.47840000000000005
1398,0.47840000000000005
1399,0.47840000000000005
1400,0.4600000000000001
1401,0.44160000000000005
1402,0.44160000000000005
1403,0.44160000000000005
1404,0.44160000000000005
1405,0.44160000000000005
1406,0.44160000000000005
1407,0.44160000000000005
1408,0.44160000000000005
1409,0.44160000000000005
1410,0.44160000000000005
1411,0.44160000000000005
1412,0.44160000000000005
1413,0.44160000000000005
1414,0.44160000000000005
1415,0.44160000000000005
1416,0.44160000000000005
1417,0.44160000000000005
1418,0.40480000000000005
1419,0.40480000000000005
1420,0.40480000000000005
1421,0.40480000000000005
1422,0.40480000000000005
1423,0.40480000000000005
1424,0.40480000000000005
1425,0.40480000000000005
1426,0.40480000000000005
1427,0.40480000000000005
1428,0.40480000000000005
1429,0.40480000000000005
1430,0.40480000000000005
1431,0.40480000000000005
1432,0.40480000000000005
1433,0.40480000000000005
1434,0.40480000000000005
1435,0.40480000000000005
1436,0.40480000000000005
1437,0.36800000000000005
1438,0.36800000000000005
1439,0.36800000000000005
