,Weekend - Level 1 - Diversified (75th percentile) of 100 EVs
1320,0.6256
1321,0.6256
1322,0.6348
1323,0.6256
1324,0.6256
1325,0.6256
1326,0.6256
1327,0.6256
1328,0.6256
1329,0.6256
1330,0.6256
1331,0.6256
1332,0.6256
1333,0.6256
1334,0.6256
1335,0.6256
1336,0.6256
1337,0.6256
1338,0.6256
1339,0.5888
1340,0.5888
1341,0.5888
1342,0.5888
1343,0.5888
1344,0.5888
1345,0.5888
1346,0.5888
1347,0.5888
1348,0.5888
1349,0.5888
1350,0.5888
1351,0.5888
1352,0.5888
1353,0.5888
1354,0.5888
1355,0.5888
1356,0.5888
1357,0.5888
1358,0.5888
1359,0.5888
1360,0.5888
1361,0.5888
1362,0.5888
1363,0.5888
1364,0.5888
1365,0.5888
1366,0.5888
1367,0.5888
1368,0.5888
1369,0.5888
1370,0.5888
1371,0.5888
1372,0.5888
1373,0.5888
1374,0.5888
1375,0.5888
1376,0.5888
1377,0.5888
1378,0.5888
1379,0.5888
1380,0.5888
1381,0.5888
1382,0.5888
1383,0.5888
1384,0.552
1385,0.552
1386,0.552
1387,0.552
1388,0.552
1389,0.552
1390,0.552
1391,0.552
1392,0.552
1393,0.552
1394,0.552
1395,0.552
1396,0.552
1397,0.552
1398,0.552
1399,0.552
1400,0.5244
1401,0.5244
1402,0.5152
1403,0.5152
1404,0.5152
1405,0.5152
1406,0.5152
1407,0.5152
1408,0.5152
1409,0.5152
1410,0.5152
1411,0.5152
1412,0.5152
1413,0.5152
1414,0.5152
1415,0.5152
1416,0.5152
1417,0.5152
1418,0.47840000000000005
1419,0.47840000000000005
1420,0.47840000000000005
1421,0.47840000000000005
1422,0.47840000000000005
1423,0.4508000000000001
1424,0.44160000000000005
1425,0.44160000000000005
1426,0.44160000000000005
1427,0.44160000000000005
1428,0.44160000000000005
1429,0.44160000000000005
1430,0.44160000000000005
1431,0.44160000000000005
1432,0.44160000000000005
1433,0.44160000000000005
1434,0.44160000000000005
1435,0.44160000000000005
1436,0.44160000000000005
1437,0.44160000000000005
1438,0.41400000000000003
1439,0.40480000000000005
